yuma,yamato,amugiri,hyuga,yuta
"@Rei00862148 僕は嫌だっ！ Jan 25, 2019 ",,"@noppi__a ありがとっぴ！！！🙇‍♂️ Jan 06, 2021 ",,
"最近の趣味を発表します。 僕の最近の趣味は大学の友達の顔面を使い、出会い系アプリでチャットを楽しむことです。 出会い系アプリがうまくいかない時は友達の顔面のせいにすることができるので実に気楽です。 以上本日の悪趣味ツイでした。 #いつもごめん伊藤 Jan 24, 2019 ",,"@kantayuzu45 ！！？？！？ Jan 06, 2021 ",,
"@Comyoutuber2 ゆうたん？やまにん？どっちだ？ Jan 23, 2019 ",,"@sobakasu1117 ｱｱｱ…ｱ…ｱ… Jan 06, 2021 ",,
"@O6nkMa 髭はめんどくさくて剃ってないだけです。笑 僕のコンプレックスペチャ鼻を可愛いだなんて女神様ですか？ Jan 23, 2019 ",,"@com_miyu0415 いつもありがとうございます🙇‍♂️ Jan 06, 2021 ",,
"@Commei0917 俺もみないけどなんかできちゃいました😅 Jan 23, 2019 ",,"少し時間があるので初めてですがリプ返タイムというものを少しやってみようと思います✌️ 話しやしょう🙇‍♂️ https://t.co/IPB8SphPdY Jan 06, 2021 ",,
"@Commei0917 ピャア😍😍 Jan 23, 2019 ",,"@shinae_01 言うな！見えない努力してるんだ！ Jan 05, 2021 ",,
"異世界転生系エロ漫画の主人公のモノマネしてみました。 #エロ漫画の主人公 #だいたい前髪で目見えない #地味モノマネ #地味ハロウィン的な #本日のクソツイです https://t.co/ntNSoZp9gl Jan 23, 2019 ",,"@_asaka_00 これお菓子とかイヤホンとか入ってた気がする笑笑 Jan 05, 2021 ",,
"RT @kintaro_japan: 心が荒みすぎてこのお爺さんでしか笑えない。 https://t.co/KqFIpZWDFP Jan 23, 2019 ",,"僕たちチーム警察‼︎👮‍♂️ https://t.co/vaH4F1qTmF Jan 05, 2021 ",,
"@_com_kurumi 助けてコムレンジャー！僕たちを暖かくみ守って〜💌 Jan 22, 2019 ",,"いつか逃走中に出て走り回ってみたい🙄 https://t.co/UBEyOafTYi Jan 03, 2021 ",,
"@Rei00862148 卍ダッシュではやくきてきてぇぇ Jan 22, 2019 ",,"@kuroe16370547 明けましておめでとうございます🙇‍♂️ 今年も頑張ります🔥 Jan 01, 2021 ",,
"@com_yutakun 体バキバキ範馬刃牙〜〜〜！ Jan 22, 2019 ",,"@isncy__ 岐阜のバンジー飛んでみたい Jan 01, 2021 ",,
"@com_yutakun てぃーたふぁんの方ですか！あざマッスルムッキムキインナーマッスルバッキバキ！ Jan 22, 2019 ",,"@hatakesaku お雑煮！ Jan 01, 2021 ",,
"@Rei00862148 コムレッド〜助けてぇぇ💋 Jan 22, 2019 ",,"@commayu_98 かまぼこ Jan 01, 2021 ",,
"@__com_marie コムレンジャーの何色とか自称でいってく下りとかあったらオモロイっすねw Jan 22, 2019 ",,"@com_ayane0901 どちらかというと！ Jan 01, 2021 ",,
"@Rei00862148 コムレンジャーの何色の人ですか？是非お願いします🥺 Jan 22, 2019 ",,"@com__kanon 醤油！ Jan 01, 2021 ",,
"俺らが守られる側でなんか草 安全管理をリスナーさんに委託するタイプのYouTuberとして今後精進してまいります。！ Jan 22, 2019 ",,"明けましておめでとうございます🎍 ZOZI年もよろしくお願いします🙇‍♂️ https://t.co/QxQhEIWTRl Jan 01, 2021 ",,
"いつもみてくれてる皆さん。 コンバンワ。 リスナーさんの総称が『コムレンジャー』になるらしいです!ww レンジャーって聞くと数人のグループを想像しますが リスナーのみなさん今世紀初の大所帯レンジャーになっちゃってくださいw 以上本日のクソツイでした。 https://t.co/V7T8V2G3st Jan 22, 2019 ",,"ZOZO年もありがとうございました〜‼︎ 来年もよろしくお願いします😎 2020年セス https://t.co/xYljQ2UHZP Dec 31, 2020 ",,
"@ayana_mikan_ 人に楽しんでもらえるという点では同じ路線なのかもしれま、せ、…ん。たぶん！ Jan 22, 2019 ",,"絶景だぁぁぁ‼︎✨ https://t.co/ofJkK96QOp Dec 30, 2020 ",,
"@meimei917 いいこと言いますねぇぇ！そうだと信じて頑張りまつ〜💫 Jan 22, 2019 ",,"コムポワール12月編も楽しかった😆 旅の続きが気になる〜‼︎ https://t.co/XPtQRUAxjc Dec 27, 2020 ",,
"@han_nyah う、う、運命〜〜〜💫 Jan 22, 2019 ",,"@kd6HT2QypHCxG8v 来年は…なんとか…なるさ。 Dec 24, 2020 ",,
"RT @Comyoutuber2: 【泥酔】断食してお酒飲むの絶対ダメ https://t.co/a6HBXO8S6U @YouTubeより おはようございやす🌞 今回の動画はどの状態でアルコールを摂取したら早く酔うのかという検証です🔥 20歳トリオでお酒を飲みながらゆるく話し… Jan 22, 2019 ",,"@b_ye18 ふぉぉぉぉー！ Dec 24, 2020 ",,
"@meimei917 やはりそういう人が世の中の大半ですよね〜！ 10歳の目標を今も掲げられてる人はきっと偉人になれると思いますよね〜！ Jan 21, 2019 ",,"@com_ccccc0305 確かニューマリかな！ Dec 24, 2020 ",,
"本日のクソツイです。 Jan 21, 2019 ",,"@s_ai0402 いいね冬休み！ Dec 24, 2020 ",,
"二分の一成人式で10歳の頃20歳の自分に向けて書かれた手紙を読んだ そこには『今ぼくは一生懸命野球をやってます！20歳のぼくは野球を続けていますか？プロ野球選手になれてますか？』と綴られていた なんなら教えたる10歳のワイ 三年後お前は余裕で野球やめるし、20歳のお前はYouTuberやってる。 Jan 21, 2019 ",,"@Mizuho__com はやい！トプ画今日のゆうたのツイートの写真ですね！ Dec 24, 2020 ",,
"RT @Comyoutuber2: 【痛快】ラファエル野球拳×わさびがヤバすぎたwwww https://t.co/gfvxsqcLup @YouTubeより お待たせしました大人気企画ラファエル野球拳です😎🕺🏼📣 回を重ねるごとに上がるハードル。 過去最強にきつい罰ゲーム。… Jan 20, 2019 ",,"@kago_com_0515 やま子とは嫌だ！ Dec 24, 2020 ",,
"@Comyoutuber2 @Towa__hn2nd 俺も言われたいシルクさんに輪郭と鼻筋似てるって！羨ましい。 Jan 20, 2019 ",,"@com_haruko0515 メリークリスマスイヴ🎅 Dec 24, 2020 ",,
"@marie__O6O5 ゆうたは褒められてるので喜んでました笑 だからノープロブレムヒャッホーウ Jan 20, 2019 ",,"@com_Fuka114 お主欲張りですね〜😏 誕生月僕と同じですね！ Dec 24, 2020 ",,
"@marie__O6O5 回りに回ってシルクさんに失礼なことをしてしまった感。笑 Jan 20, 2019 ",,"@yuta_comd ひゅうちんといる笑 Dec 24, 2020 ",,
"@meimei917 不覚にも自分の顔面で笑ってしまった。笑 Jan 20, 2019 ",,"@2Epux メリークリスマスイヴ！ Dec 24, 2020 ",,
"https://t.co/Y9wmZapB2p Jan 20, 2019 ",,"@com__kanon なんもないぞい笑笑 Dec 24, 2020 ",,
"本日のクソツイ。 恐れ多いですが 我々のメンバーのゆうたとフィッシャーズのシルクロード様のお顔が似てる気がします 一緒にいればいるほどシルクさんです。 似てると思うのはぼくだけ？？？ https://t.co/gORMcx4yTE Jan 20, 2019 ",,"@Waka_hyuturi 面白い動画できたから楽しみにしててください！ Dec 24, 2020 ",,
"@meimei917 完全にオタ垢化してすいませんwww Jan 20, 2019 ",,"@com_reina35 おっと出かける時間だ…🧐 Dec 24, 2020 ",,
"RT @Comyoutuber2: 【閲覧注意】ゆるキャラ選手権コンビニ編 https://t.co/1tNMmvSWS4 @YouTubeより さあさあさあ！！！ 本日は個人的人気企画ゆるキャラ選手権 コンビニversionでございます💪🔥💪 やまと二冠なるか！？ゆうた王者に… Jan 19, 2019 ",,"@comryoka26 あむサンタ登場ー！ Dec 24, 2020 ",,
"あ、昨日のクソツイさぼっちゃった！ そんな僕を長崎の方言でめたんこに叱ってくれる長濱ねるちゃんどーこだ。？？？ #欅坂46 #YouTuber #コムドット #SMプレイ #長濱ねる https://t.co/BeLYMxa0Y1 Jan 19, 2019 ",,"@com20384 もちろんよー！！ Dec 24, 2020 ",,
"RT @Comyoutuber2: https://t.co/FpU0UqFw4s ↑こちらから見れます 今回の動画は『潔癖症あるある』 コムドットには男のくせに回し飲みもできない女々しい男が二人もいます。そんな潔癖症のゆうたとゆうまの生きづらい現実をあるあるにしてきました… Jan 18, 2019 ",,"@com_yt__ao 早めのおめでとう🎉 Dec 24, 2020 ",,
"本日のクソツイです Jan 18, 2019 ",,"@hiyori0812 これでわかるのすごすぎますね😂 Dec 24, 2020 ",,
"今日はセンター試験とういうことで 齋藤飛鳥ちゃんの応援動画を載せます 僕は2年前、センター試験を受ける前この動画をみて気が楽になりました 受験失敗した時点で人生オワコンという気持ちがこの動画のおかげでなくなったのです 何が言いたいかというと齋藤飛鳥ちゃんとお散歩したい人生だった https://t.co/20BlYzYdFN Jan 18, 2019 ",,"@avn_mama うぅぅ…傷つくなぁぁ！！ Dec 24, 2020 ",,
"本日のクソツイ つぶやくことが特になかったのでゆたちゃんの放尿シーンでも載せときます。 https://t.co/XWsrT4LVfP Jan 16, 2019 ",,"@ii_O_o102 頼みづらいんですけど時間を…下さい Dec 24, 2020 ",,
"@ayana_mikan_ ありがとうございます😊 これからも頑張りやす〜 Jan 16, 2019 ",,"@comchiiiiiha あぁぁ😭頑張ってぇぇ！！🔥 Dec 24, 2020 ",,
"RT @Comyoutuber2: 我々コムドットも1月14日成人を迎えてきました🎊🎊🎊 こっからは更に本腰を入れて大躍進していきたいと思っています🔥 未熟な僕たちですが、人には引かれるほど頑張ろうと思うのでどうか応援宜しくお願いします！！ #新成人の皆さまおめでとうござ… Jan 15, 2019 ",,"@miwa05070318 今日会わなきゃやないかい！😂 Dec 24, 2020 ",,
"@urns_76_ いつもコメントありがとうございます！ 励みになります💪 Jan 15, 2019 ",,"@yuki11260911 おめでとう🎉 Dec 24, 2020 ",,
"本日のめでツイ。🎊 僕たちコムドット成人を迎えました！！ ここからは爆速で売れてやろうと我々思っとるんで 振り落とされずついてきてください🔥🔥🔥🔥🔥🔥🔥🔥🔥 #YouTube #YouTuber #成人式 #一年で結果出すど https://t.co/KlOa0dj6GM Jan 15, 2019 ",,"@17kanami0527 来年こそは…！！😭 Dec 24, 2020 ",,
"24時間企画やってみてわかったこと この全宇宙の支配者であり神として崇められるべき存在は きょんくまさんであるということ。 Jan 13, 2019 ",,"@kasuuuu0411 🎁 Dec 24, 2020 ",,
"24時間企画 普通に ハイリスク ローリターン で 草 。 Jan 13, 2019 ",,"@yyuuaa__ 勢いだよね〜！ Dec 24, 2020 ",,
"@itokota1999 よかったです！他のメンバーの24時間企画もあるんで是非見てください！ Jan 13, 2019 ",,"@comamugirl0123 やっほぉぉぉ！！ Dec 24, 2020 ",,
"RT @Comyoutuber2: https://t.co/T9kvCZRMU1 ↑こちらから見れます 『超過酷』24時間手縛り生活後編です！ 後編はマジで何度かピンチを迎えます。 後半ではウンチを拭いてもらうシーンなども… 体張ったので是非見てください！ #24時間企画… Jan 13, 2019 ",,"@_asaka_00 これからも任せてくやさい😏 Dec 24, 2020 ",,
"@meimei917 トゥクトゥク〜♫♫ Jan 13, 2019 ",,"@comyuki0902 🐜🐜🐜🐜🐜🐜🐜🐜🐜🐜！！ Dec 24, 2020 ",,
"@meimei917 優しすぎるよ君は🥺ぼくがんばるお🥺 Jan 13, 2019 ",,"@V_T0091 サンタの顔が見たいので自撮り置いといて下さいってリアルにお願いしてた笑笑 Dec 24, 2020 ",,
"RT @Comyoutuber2: https://t.co/lg2KhXPB6B こちらから見れます↑ 24時間！手ガムテープでぐるぐる巻き生活やってまいりました！ 今回の挑戦者はゆうまちゃんです。 スマホいじれない、トイレ一人でできない、飯食べれないetc. いろい… Jan 13, 2019 ",,"@momokiti1207 叶えちゃいやす✨ Dec 24, 2020 ",,
"この世界は理不尽だ。 1時間くらいで撮影した成人式あるあるの動画に24時間かけて撮影した24時間手縛り生活の再生回数が勝てない。 この世界は想像を絶するほど理不尽だ。 本日のクソツイである。 Jan 13, 2019 ",,"@comnamigiri0123 マライヤキャリーさんとジャスティンさん！ あと山下達郎さん！ Dec 24, 2020 ",,
"こぴさんに最近ドハマリしてる。 聴いてるとお耳が心地よくなります。最高です！ https://t.co/qu75efTW1t Jan 12, 2019 ",,"メリークリスマスイヴ！！！🎄 (去年の写真) https://t.co/cFMM5mtsOa Dec 24, 2020 ",,
"@meimei917 可哀想だと思わないでwww 楽しんで！本当に可哀想な人になっちゃうからwww Jan 12, 2019 ",,"RT @Agovukuro: 今回は新たなデータを入手した。 あむぎり&島袋コンビ🙆‍♂️ #コムポワール #あむ袋 #エスポワール #コムドット https://t.co/4f2mUt4vqz Dec 21, 2020 ",,
"@azumanoROKUZE こちらこそありがきお言葉ありがとうございまする！お互い動画会の坂道全速力で登っていきましょう🥳 Jan 12, 2019 ",,"@Agovukuro 今回もお疲れ様でした‼︎ Dec 21, 2020 ",,
"@meimei917 心配ありがとうございます今日で絶対直します🦍🦍🦍🦍🦍🦍🥺🥺🥺🥺🥺 Jan 12, 2019 ",,"相馬トランジスタさんありがとうございました‼︎🙇‍♂️ 編集中にも爆笑するほど面白い方でした🤣いつかへきほーさんとも撮ってみたいです！ https://t.co/2kyRja9zO1 Dec 21, 2020 ",,
"なんかふざけてんのにすげぇ最後感動しました🥺ななせぇぇぇぇ！！ https://t.co/96N286sBoN Jan 12, 2019 ",,"楽しすぎました😁 https://t.co/Tzbct2QEiT Dec 20, 2020 ",,
"RT @Comyoutuber2: https://t.co/CNjUXoaWpq @YouTubeより ↑フルはこちらから 【未成年】現役JKの妹に架空請求したら絶縁された件 YouTubeの登竜門「架空請求」にかかったのではなく架空請求側になってドッキリしてみました！ 果… Jan 11, 2019 ",,"ネックレスちゃんとして下さい。 https://t.co/4S4zpX4I7l Dec 19, 2020 ",,
"本日のクソツイ あむぎりとしぇしぇしぇ容疑者完全一致！！！！！ https://t.co/WGQCoK85wm Jan 11, 2019 ",,"@yuta_comd もうバスケできる体力がないです…😅 Dec 16, 2020 ",,
"@meimei917 いや、むしろ劣化なのだよ。 ビロビロリーンをつれるより シンプルな方がお強いのだよ！ Jan 11, 2019 ",,"もう22歳かぁおめでとう🎂 https://t.co/9DnMfgPhOy Dec 16, 2020 ",,
"@urns_76_ 今から長期休暇に入ります🦍 Jan 11, 2019 ",,"@comyamato0515 小峠さんみたいだね Dec 15, 2020 ",,
"@meimei917 今からばくみんします🦍 Jan 11, 2019 ",,"AV大好きコンビです🙄 https://t.co/lOAEQjlEsO Dec 15, 2020 ",,
"体調不良のため今日は何も思いつきません 以上ほんまもんのクソツイでした。 Jan 11, 2019 ",,"@omukusan5 お茶🍵 Dec 13, 2020 ",,
"RT @Comyoutuber2: https://t.co/gdVJog0Sup こちらから見れます↑ ぼくたちコムドット1月の14日に成人を迎えるということで 今回はなんと！ 成人式あるある撮ってきました〜 経験してないのに撮っちゃった⭐️ あくまで想像で作りました！… Jan 11, 2019 ",,"@mint_0503_ サンドウィッチ🥪 Dec 13, 2020 ",,
"本日のシモツイです。 Jan 11, 2019 ",,"@com_rarin 牛乳？？ Dec 13, 2020 ",,
"@meimei917 おちんちんビロビロリーン Jan 10, 2019 ",,"@comAoi33 不思議！！ Dec 13, 2020 ",,
"むらかみちはやさんの固定ツイート見て思った。面白いこと言ってって無茶振りされたらこれからは 『おちんちん』 って返答しよう。 https://t.co/YuOpkOPRPt Jan 10, 2019 ",,"@_asaka_00 この後一口あげました😏 Dec 13, 2020 ",,
"@nakashun0518 いや、読んでないんかい Jan 10, 2019 ",,"@com_ayane0901 カラオケとかも立っちゃう笑笑 Dec 13, 2020 ",,
"本日のクソツイです。 Jan 10, 2019 ",,"@commegu626 そんなことあるんだ！😂 Dec 13, 2020 ",,
"二ヶ月前一人でタイに行ったのですが ワットポーで歌を歌う子供達がかわいすぎて食べちゃいたくなりました。 小さい頃からこんなに頑張っててえらい！ ワイが小さい頃なんてドラゴンボール見て、かめはめ波の練習してたくらいやぞ。 #タイ #バンコク #ワットポー #YouTuber https://t.co/XqTPvFhYDi Jan 10, 2019 ",,"深夜の休憩でゆうたとご飯🥪🍙 #小指立つのおかしいでしょ https://t.co/hsLkFykPAe Dec 13, 2020 ",,
"@sugi03258 @_watapooon 成人祝い欲すぃ。です。 Jan 10, 2019 ",,"@hatakesaku いいですよ！ Dec 12, 2020 ",,
"@meimei917 とてつもなく嬉しいメッセージに反応してなかったぜ申し訳ない！ やったぜよっシャァ！メンバーに自慢し よ！ これからも欠かさずクソツイするんで楽しみにしててください５時！ Jan 09, 2019 ",,"@qPHxzeSjX99z1y2 君らお似合いやん Dec 12, 2020 ",,
"@meimei917 ハマってしまってねぼくたちあははははっ！ Jan 09, 2019 ",,"部下です #バカ眠そうで草 https://t.co/sU8LGQ9Ri1 Dec 12, 2020 ",,
"@Shusei_BASS 僕も晴れて山ファミです〜！ この開放感で何をしでかしちゃうかわかりませんグフフフフ🥳 ぜひなかよくさせてくださ〜い🙇‍♂️ Jan 09, 2019 ",,"普段着ない服を着させて頂いたので何だか気持ちよかったです😌 指輪は初めて付けました https://t.co/4qjpwGbaWV Dec 11, 2020 ",,
"拭いて Jan 09, 2019 ",,"みんなカッコいい😎 https://t.co/3yuGvGU0IX Dec 09, 2020 ",,
"本日のクソツイ。 この子可愛くない？ ＃YouTube ＃YouTuber ＃別に欅系YouTuberじゃない ＃鈴本美愉 ＃欅坂46 ＃推しメン ＃コムドット https://t.co/6SNRmfJVvr Jan 09, 2019 ",,"年始から言ってた「年内チャンネル登録者数50万人」という目標が今日遂に達成しました。やったぞ‼︎ いやぁ…僕たちよく頑張りました。 おめでとう。視聴者さんここまでついてきてくれてありがとうございます。 これからもついてきてください またみんなで目標達成しましょう！ #コムドット有言実行 https://t.co/ZQURlFLzb6 Dec 08, 2020 ",,
"@Shusei_BASS いえいえこちらこそありがとうございます！家帰って架空請求をなんでやねんだけで撃退する動画見ました。あの動画最高すぎます。もうファンの一員です！ こちらこそまたよろしくお願いします🥺 Jan 09, 2019 ",,"50万人突破したら是非お祝いお願いします🎉🙇‍♂️ https://t.co/Dz8T0CzAqm Dec 08, 2020 ",,
"吹いて Jan 09, 2019 ",,"4万人の方々フォローしてくれてありがとうございます😎🎊 来週ゆうまの誕生日だね https://t.co/nfPk7N2G33 Dec 07, 2020 ",,
"24時間お手手ガムテープでぐるぐる巻き生活おわったぜ！ 応援してくれた皆の衆どうもありがとうございやす！ 普通に肩こり半端ない。 お手手蒸れ蒸れで臭すぎ。 でもやりきった感半端ない。 サポートしてくれたメンバーありがてぇ。とくにあむぎりうんち吹いてくれてありがとう。 Jan 09, 2019 ",,"久しぶりに早起きしてめざましテレビの紙兎ロペを見た🙄 髪をセットして頂き今日も頑張ります https://t.co/w47XCwdGC4 Dec 07, 2020 ",,
"@meimei917 明さん音声入力うますぎだろなんでそんなうまくできるのやったことあるでしょう大草原不可避ヒーヒーおーい雄太しゃべっんだよ雄太がしゃべった声でなんか変な感じになっちゃいました今雄太と一緒にますam着にもいますアメリam切り切りもいます熱き熱き大麦にもいます Jan 08, 2019 ",,"@CB_george12 @YouTube おめでとうございます‼︎㊗️🙇‍♂️ Dec 06, 2020 ",,
"@meimei917 めいちゃんちゃんはおかしい名3名3日さんいつもリプありがとうございます本当にありがたいですこれからも仲良くしてください本当にありがとういつもより Jan 08, 2019 ",,"右手の位置に困るな (昨日美容院に行きました) https://t.co/OyEBt9LO6x Dec 05, 2020 ",,
"本日の糞つい本日はえー本日は本日はですねあの24時間手搾り生活というものをやっていましてなので音声入力で本日の草津言ってます今日はこんな感じで頑張ってるので動画見てね今週の土日にあがります24時間てしまい生活リズムを7本をはいちゃったよ https://t.co/Ys1VMVkIAi Jan 08, 2019 ",,"みんなおつべぇ！ https://t.co/80vpWgTLXl Dec 03, 2020 ",,
"@marie__O6O5 5時脱字が多くてすいません Jan 08, 2019 ",,"@com_urai 田中さぁぁん！ Dec 01, 2020 ",,
"@marie__O6O5 あ体使えないから英語になっちゃいました笑いま音声入力でリプ返してますごめんね送信送信まで吐いちゃったやないかい Jan 08, 2019 ",,"@comerika_1201 おめでとう🎉 Dec 01, 2020 ",,
"@marie__O6O5 Come body mass Tates going to go to Ewa natatorium Jan 08, 2019 ",,"12月ですね🙄 https://t.co/nEyDcHNtHY Dec 01, 2020 ",,
"@meimei917 ぷろたんの飯うま動画と筋トレ動画を見て頑張りまっふ！ Jan 07, 2019 ",,"アバンティーズさんとコラボさせて頂きました😭🙇‍♂️ 昔から見ていた方たちと動画を撮れたことが嬉しすぎて頭が追いついてないです ありがとうございました‼︎ 急上昇おめでとうございます😆 https://t.co/93DMSKedVI Dec 01, 2020 ",,
"明日 24時間手縛り生活かぁ 心身共にきついなぁ。 Jan 07, 2019 ",,"@Hiroto_espoir もっちゃんしか勝たんです😐 Nov 30, 2020 ",,
"本日のクソツイ。 今日はぼくの尊敬してやまないYouTuberさんは誰なのか発表したいと思います。 その方とは 普通に ぷろたん様でございます。 https://t.co/26QLe4XZTe Jan 07, 2019 ",,"@KEESUKE_ESPOIR @Agovukuro @Hiroto_espoir 見つけたら盗撮しますね！♡😏 Nov 30, 2020 ",,
"@urns_76_ 二人で50万ずつ払ってギャラ100万でかいてもらいましょう Jan 07, 2019 ",,"エスポワールの方たちはカッコよく携帯いじりますね😎 https://t.co/qeWqxnh5oT Nov 30, 2020 ",,
"@meimei917 ゆうたの手を齋藤飛鳥ちゃんだと思ってニベア塗ってもらうことで妥協します😂 Jan 07, 2019 ",,"あの日UUUMにお邪魔させて頂いのはエスポワールさんとの撮影でした〜！ 今日もコラボ動画が出るから楽しみだ〜😎 https://t.co/2NAeBB1yC0 Nov 28, 2020 ",,
"RT @Comyoutuber2: https://t.co/gujOprcW7V 今まで何ヶ月かやってきて思った。メンバー皆細い、、 いやムキムキになればモテる！！ じゃあムキムキになろうじゃん 楽しみにしててください一年後の私たちの姿を😆 https://t.co/RZS… Jan 06, 2019 ",,"007 https://t.co/2pVnDhyfLy Nov 25, 2020 ",,
"RT @Comyoutuber2: https://t.co/tsJ7VkdzD0 こちらから見れます↑ supreme企画第二弾でございます supreme第一弾であんだけ叩かれたのに第二弾だしてもうた プレ値で普通に買って着たい人もいるのに転売ヤーのせいで値段が上がる… Jan 06, 2019 ",,"@anna_com_0718 本当すごいですよね！！ Nov 24, 2020 ",,
"ワイが滑りに滑る動画やで、 みてくださいなぁ！ https://t.co/3vRQLkV4Aq Jan 06, 2019 ",,"40万人おめでとうございます🎉 可愛いこの絵😆 頑張るぞおおおおおおおおおおおおおおおお！！！ https://t.co/sHfZYnt2aX Nov 23, 2020 ",,
"@meimei917 乃木坂46の齋藤飛鳥ちゃんにニベアクリーム塗ってもらいたい人生だった。 https://t.co/7T0ipTCmmV Jan 06, 2019 ",,"@po99___ 童貞かい！と思ってホッとしました僕笑笑 Nov 23, 2020 ",,
"@urns_76_ 欅坂46の長濱ねるちゃんにかいてほしい Jan 06, 2019 ",,"@rharia09 本当おめでたいですよね🎉 喜んでて僕も嬉しいです！ Nov 23, 2020 ",,
"@meimei917 真髄だよね。クソツイの🥺 Jan 06, 2019 ",,"@0305s_maya なんか知らないけど見ちゃいますよね！ Nov 23, 2020 ",,
"肩甲骨辺り Jan 06, 2019 ",,"最近コムドットさんの動画が面白くていつも拝見してます！ 昨日の動画がとても伸びてて驚いてます🙄 しかし、もう誰も遊んでくれなさそうで怖いです。 https://t.co/WG1cXLCQNN Nov 23, 2020 ",,
"本日のクソツイ 背中かゆい Jan 06, 2019 ",,"@commegu626 ガチ終わりました笑 Nov 20, 2020 ",,
"クソツイをサボってしまった。 そんなぼくを足蹴にするもよし、 銃口を口の中に押し込むもよし、 シンプルにビンタするもよし、 どんなやり方でもいいからお仕置きしてください。 今泉佑唯さーーーーーん！ #キモオタ #YouTuber #元欅坂46 #セクシー #今泉佑唯 https://t.co/3bPIVB9Fc4 Jan 05, 2019 ",,"走りすぎて筋肉痛になっちゃった🏐 https://t.co/JBFkoLiYjG Nov 20, 2020 ",,
"さあここからどこまで増やせるか https://t.co/VOle7LgUeO Jan 04, 2019 ",,"すみません今日の動画遅れます！💦 Nov 19, 2020 ",,
"@meimei917 一緒にスタイリッシュな体を作っていきましょう📣📣📣 僕は足がプルプルです🦶 Jan 04, 2019 ",,"誕生日おめでとうございました🎊 https://t.co/ILB1MGVVsX Nov 17, 2020 ",,
"@meimei917 ごめんなさい🥰 ありがたきお言葉頂戴いたしました🙇 Jan 04, 2019 ",,"エスポワールと身長比べてみた🙄 https://t.co/1mbhBHLiHL Nov 17, 2020 ",,
"本日のクソツイ 僕はゆたちゃんのほっぺが大好きです。 そうなんです僕ほっぺフェチかつ若干ゲイキャラなんです。 コムドットの推しメンはゆたちゃんです。プニプニなんだよなぁえへえへ。 https://t.co/sAXpqwfvAg Jan 03, 2019 ",,"@chimio_13 おいしい！ Nov 15, 2020 ",,
"@meimei917 ひき肉wwwwきったねぇ笑笑 笑っていただけたなら嬉しいです😆 Jan 03, 2019 ",,"UUUMにお邪魔します😎 https://t.co/hPzNuKO0i3 Nov 15, 2020 ",,
"俺氏この動画すき、よかったらみてね！ https://t.co/aj9GZNBOGS Jan 03, 2019 ",,"今日の動画もう少々お待ちください‼︎💦　申し訳ないです！😰 Nov 14, 2020 ",,
"@meimei917 僕がバカでしたまことにすいません！！！！ 大丈夫ですか？ゴンチャ逆流して鼻の中きたりしませんでしたか？😂 Jan 03, 2019 ",,"あぁぁぁぁ…！！😭 遂に…遂にヒカキンさんにフォローして頂きました！！夢のようです あぁ…本当嬉しいです😢 YouTube頑張ってきてよかった。 https://t.co/gFfBURjs0i Nov 10, 2020 ",,
"@meimei917 いや、本人です😂 Jan 03, 2019 ",,"@ochibahirotte やばいえすね Nov 08, 2020 ",,
"@meimei917 あむぎりさんです！ Jan 03, 2019 ",,"先日ですがチャンネルの総再生回数がなんと1億回を突破しました😭 意味わかんない数字になってますがいつも見てくれてる方々ありがとうございます🙇‍♂️ 1億回かぁ…瞬きなら1億回やったかもね https://t.co/QT99XoijNs Nov 08, 2020 ",,
"@meimei917 撮ってないんだよなぁ。これで許してください🥺 https://t.co/UFbFRof70G Jan 03, 2019 ",,"@MAHOTONNN めちゃくちゃ厳しくないですか😭 おめでとうございます🙇‍♂️ Nov 07, 2020 ",,
"本日のクソツイ。 ついに母親にYouTuberやってることばれました。 ギリありそうでない〇〇を山手線のテンポで言っていくという『ギリないゲーム』を二カ月前やったのですがそれを見られました。 ありそうでないことわざ 棚から母ちゃんのティーバック これ見られたった 人オワ(人生終わり)だぜ😄 https://t.co/If1fbPitzm Jan 03, 2019 ",,"キメるならキメましょう！ https://t.co/uSRvmhnMvc Nov 05, 2020 ",,
"@meimei917 炎上させちゃってくださいコムドットを！笑 Jan 02, 2019 ",,"とても上手な絵を描いてる僕の大好きな方がプレゼント企画やってるらしいです！ もし当選したら是非コムドットを描いて欲しいです😌🙇‍♂️ https://t.co/FSnMgxpLca Nov 02, 2020 ",,
"本日のクソツイ 今日は単身赴任の親父が帰ってきてそうそうYouTubeやってることばれました。 そんで写真撮ってやるよと言われ、 普通にピースしたところ YouTubeのなんかないの？ こういうのやんないの？(画像) と煽られました。 多分YouTube用インスタ垢もバレました。 ちゃんちゃん。 https://t.co/kCR6tMXnCF Jan 02, 2019 ",,"夢見てるみたいでした。ありがとうございました！🙇‍♂️ https://t.co/uqB0gStSUc Nov 02, 2020 ",,
"@meimei917 もしも売れた時にこのクソツイを2ちゃんに載せられて炎上したら、めいさんうたがっちゃうぞ🥰 Jan 01, 2019 ",,"じゃんけん負けて荷物持たされた部活の後輩 #地味ハロウィン #ハッピーハロウィン https://t.co/88Id1Y38iF Oct 31, 2020 ",,
